"اسم المنتج","رابط المنتج","صورة المنتج","السعر (درهم مغربي)","السعر قبل الخصم (درهم مغربي)"
"Jasmine Body Oil","https://lemoracosmetics.com/products/jasmine-body-oil","https://lemoracosmetics.com/cdn/shop/files/IMG_8913.jpg?v=1711073961&width=533","250.00","250.00"
"Pure Calendula Oil For Sensitive Skin & Scalp","https://lemoracosmetics.com/products/pure-calendula-oil","https://lemoracosmetics.com/cdn/shop/files/IMG_9845_1.jpg?v=1713770822&width=533","239.00","239.00"
"Chamomile Calm Energy Body Oil - 4oz","https://lemoracosmetics.com/products/chamomile","https://lemoracosmetics.com/cdn/shop/files/IMG_9243.jpg?v=1709701933&width=533","217.00","217.00"
"Lemongrass Positive Energy Body Oil","https://lemoracosmetics.com/products/lemongrass-positive-energy-body-oil","https://lemoracosmetics.com/cdn/shop/files/IMG_0900.jpg?v=1725239726&width=533","217.00","217.00"
"Cinnamon Divine - Massage & Body Oil 4oz","https://lemoracosmetics.com/products/cinnamon-divine-massage-body-oil-4oz","https://lemoracosmetics.com/cdn/shop/products/1EA7386C-F0CF-44DB-A70A-DDAF70FB3F10.jpg?v=1668719524&width=533","239.00","239.00"
"Calendula Sunrise- Body Oil 2oz","https://lemoracosmetics.com/products/calendula-sunrise-body-oil-2oz","https://lemoracosmetics.com/cdn/shop/products/7A7A2498-1193-4A9E-A9B3-040270AE1517.jpg?v=1705704650&width=533","195.00","195.00"
"Peppermint Sweet Vanilla Body Oil","https://lemoracosmetics.com/products/peppermint-sweet-vanilla-body-oil","https://lemoracosmetics.com/cdn/shop/files/IMG_7433.jpg?v=1730702472&width=533","228.00","228.00"
"Lavender Bergamot Massage & Body Oil","https://lemoracosmetics.com/products/lavender-bergamot-massage-body-oil","https://lemoracosmetics.com/cdn/shop/files/IMG_7965.jpg?v=1706413606&width=533","152.00","152.00"
"Butterfly Pea Multi-Use Oil (Skin & Hair) 2oz","https://lemoracosmetics.com/products/butterfly-pea-multi-purpose-oil","https://lemoracosmetics.com/cdn/shop/files/IMG_7731.jpg?v=1705642738&width=533","174.00","174.00"
"Rose Bliss Bath & Body Oil","https://lemoracosmetics.com/products/rose-bliss-bath-body-oil-4oz","https://lemoracosmetics.com/cdn/shop/files/IMG_3904.jpg?v=1720993708&width=533","174.00","174.00"
